WATERBODY_ID,VERSION,DATE_RETRIEVED,UP_STREAM,DOWN_STREAM,IMMEDIATE_UP_STREAM,IMMEDIATE_DOWN_STREAM,CATCHMENT_LENGTH,WATERBODY_NAME,WB_TYPE_NAME,Easting,Northing,NGR,BB_MAX_X,BB_MAX_Y,BB_MIN_X,BB_MIN_Y,HMD_NAME
GB104026067080,2,13/09/2013,GB104026067031,"GB104026067000, GB104026067040, GB104026067212, GB640402492000, GB640402491000, GB530402609201, GB530402609202",GB104026067031,GB104026067040,,West Beck Upper,River,502970,456620,TA0297056620,506814,458099,499411,454864,Heavily Modified
GB104026072790,2,13/09/2013,,GB640402491000,,GB640402491000,,Gypsey Race from Source to North Sea,River,518123,466802,TA1812366802,518427,472809,487373,466207,Not Designated A/HMWB
GB104026077770,2,13/09/2013,,"GB104026077780, GB640402491000",,GB104026077780,,Barmston Sea Drain / Skipsea Drain to Conf,River,516787,454289,TA1678754289,518060,457108,511180,448317,Not Designated A/HMWB
GB104026077780,2,13/09/2013,"GB104026077770, GB104026066630",GB640402491000,"GB104026077770, GB104026066630",GB640402491000,,Barmston Sea Drain from Skipsea Drain to N Sea,River,515327,458691,TA1532758691,517340,458909,514584,457107,Artificial
GB104027052280,2,13/09/2013,,"GB70410281, GB104027057771, GB104027057452, GB104027057630, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057630,,Rother from Source to Redleadmill Brook,River,441736,364175,SK4173664175,442638,366835,439863,361952,Not Designated A/HMWB
GB104027057290,2,13/09/2013,,"GB70410281, GB104027057301, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057301,,Doe Lea from Source to Hawke Brook,River,446048,370872,SK4604870872,446872,373562,443935,362862,Not Designated A/HMWB
GB104027057301,1,13/09/2013,"GB104027057290, GB104027057310, GB104027057320, GB104027057290","GB70410281, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203","GB104027057290, GB104027057310, GB104027057320, GB104027057290",GB104027057772,,Doe Lea from Hawke Brooke to River Rother,River,444507,375111,SK4450775111,444713,377175,443972,373561,Heavily Modified
GB104027057310,2,13/09/2013,,"GB70410281, GB104027057301, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057301,,Pools Brook from Source to Doe Lea,River,443415,372340,SK4341572340,444183,374435,443384,369945,Heavily Modified
GB104027057320,2,13/09/2013,,"GB70410281, GB104027057301, GB104027057452, GB104027057772, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057301,,Hawke Brook from Source to Doe Lea,River,447594,375465,SK4759475465,448573,376384,444712,372095,Not Designated A/HMWB
GB104027057413,2,13/09/2013,"GB104027057760, GB104027057440, GB104027057460, GB104027057340, GB104027057360, GB104027057370, GB104027057380, GB104027057390, GB104027057400, GB104027057411, GB104027057412, GB104027057490, GB104027057500, GB104027057530, GB104027057750, GB104027057490","GB70410281, GB104027057452, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203","GB104027057440, GB104027057360, GB104027057412",GB104027057452,,Don from River Don Works to River Rother,River,440265,392068,SK4026592068,442491,392267,438646,390597,Heavily Modified
